"id_product","id_brand","id_category","id_tax","id_active_compound","id_discount","id_supplier","ref","name","short_description","description","code","bar_code","price_cost","price","price_unit","price_unit_usd","price_usd","price_suggested","price_suggested_usd","net_price","net_price_usd","img_name","min_sell","max_sell","multiple_sell","units_per_pack","codisb","expire_at","created_at","profit_margin","is_active","is_regulated","is_featured","op_status"
"1","1","1","1","1","1","-1",,"ACICLOR AP TAB 1G X 10",,,"003992","8903726180655","19.4","274.89","11.73","1.42","17","453.57","32.01","274.89","17","1ra.Acetaminofen-500mg-x-20-tabletas.jpg","0","0","0","12","0",,,"65","1","-1","1","A"
"2","1","2","1","1","1","3",,"ACIDO FOLICO TAB 5MG X 30 GENVEN",,,"123456","49845261396","6","97.02",,,"6","126.13","7.8","97.02","6","descargar.jpg",,,,"30",,,,"30","1",,"1","A"
"3","1","3","1","2","1","3",,"ALIVET JBE 125 MG/0.5MG/5ML X 120ML",,,"211345","48941134764","1.86","30.08",,,"1.86","39.1","2.42","30.08","1.86","171056-800-auto.webp",,,,"10",,,,"30","1",,"1","A"
"4","1","2","1","1","1","3",,"ALIVET TAB 500MG DIA/NOCHE 4 DIAS X 12",,,"214523","48845365199","2","32.34",,,"2","42.04","2.6","32.34","2","Acetaminofem-600x450.jpg",,,,"16",,,,"30","1",,"1","A"
"5","1","2","1","1","1","3",,"ANTUX JBE 6MG/ML S/CEREZA X 180ML",,,"548766","19848164169","1","16.17",,,"1","21.02","1.3","16.17","1","Acetaminofem-600x450.jpg",,,,"14",,,,"30","1",,"1","A"
"6","1","3","1","2","1","3",,"ARTRODAR TAB 50MG X 30",,,"165975","15644987646","4","64.68",,,"4","84.08","5.2","64.68","4","Acetaminofem-600x450.jpg",,,,"20",,,,"30","1",,"1","A"
"7","1","2","1","1","1","3",,"ASAPROL COM 81 MG X 100",,,"651651","51531563166","7","113.19",,,"7","147.15","9.1","113.19","7","Acetaminofem-600x450.jpg",,,,"24",,,,"30","1",,"1","A"
"8","1","2","1","1","1","3",,"ATORVASTATINA TAB 20MG X 30 GENVEN",,,"151664","51654484561","6.3","101.87",,,"6.3","132.43","8.19","101.87","6.3","Acetaminofem-600x450.jpg",,,,"12",,,,"30","1",,"1","A"
"9","0","0","0","0","0","0",,"ATORVASTATINA TAB 40MG X 30 GENVEN",,,,,"1","16.17",,,"1","16.17","1","16.17","1",,,,,,,,,,"1","1","0","A"
"10",,,,,,,,,,,,,,"0",,,"0","0","0","0","0",,,,,,,,,,"0",,,"E"
"11",,,,,,,,,,,,,,"0",,,"0","0","0","0","0",,,,,,,,,,"0",,,"E"
"12",,,,,,,,,,,,,,"0",,,"0","0","0","0","0",,,,,,,,,,"0",,,"E"
"13",,,,,,,,,,,,,,"0",,,"0","0","0","0","0",,,,,,,,,,"0",,,"E"
"14",,,,,,,,,,,,,,"0",,,"0","0","0","0","0",,,,,,,,,,"0",,,"E"
"15",,,,,,,,,,,,,,"0",,,"0","0","0","0","0",,,,,,,,,,"0",,,"E"
"16",,,"1",,,"3",,"ACETAMINOFEN TAB 500MG X 10 GENVEN",,,,,"8","135.83",,,"8.4","149.41","8.8","135.83","8.4",,,,,,,,"16/10/2022 00:57:52","10","1",,,"A"
"17",,,,,,,,,,,,,,"0",,,"0","0","0","0","0",,,,,,,,"17/10/2022 23:49:23",,"0",,,"N"
